Journal,Year,Volume,Article type,First page,Author names,Number authors,Corresponding,Notes,Correspondence
Ecology,1956,1,article,1,Shanks,1,no formal designation,?,ND
Ecology,1956,1,article,8,Griggs,1,no formal designation,?,ND
Ecology,1956,1,article,21,Bray,1,no formal designation,?,ND
Ecology,1956,1,article,28,Oosting & Hess,2,no formal designation,?,ND
Ecology,1956,1,article,40,Verduin,1,no formal designation,?,ND
Ecology,1956,1,article,50,Johnston & Odum,2,no formal designation,gives present address for first author,ND
Ecology,1956,1,article,62,Potter,1,no formal designation,?,ND
Ecology,1956,1,article,70,Bormann,1,no formal designation,?,ND
Ecology,1956,1,article,75,"Fowler, Desrosiers, & Hopp",3,no formal designation,"no address given, though extended footnote for last author",ND
Ecology,1956,1,article,81,Sloan,1,no formal designation,?,ND
Ecology,1956,1,article,98,Lanyon,1,no formal designation,?,ND
Ecology,1956,1,article,109,Rich,1,no formal designation,?,ND
Ecology,1956,1,article,120,Winston,1,no formal designation,?,ND
Ecology,1956,1,article,132,Warren,1,no formal designation,?,ND
Ecology,1956,1,article,139,Goodnight & Goodnight,2,no formal designation,?,ND
Ecology,1956,1,article,150,Weber,1,no formal designation,?,ND
Ecology,1956,1,article,161,Edmondson,1,no formal designation,?,ND
Ecology,1956,1,article,174,Segal,1,no formal designation,?,ND
Ecology,1956,1,article,178,Stout,1,no formal designation,?,ND
Ecology,1956,1,note,192,Davis,1,no formal designation,?,ND
Ecology,1956,1,note,193,Herman,1,no formal designation,?,ND
Ecology,1956,1,note,195,Allen,1,no formal designation,?,ND
Ecology,1956,1,note,197,Weber,1,no formal designation,?,ND
Ecology,1956,1,note,200,"Sutcliffe, Jr.",1,no formal designation,?,ND
Ecology,1956,1,note,201,Edmondson,1,no formal designation,?,ND
Ecology,1956,1,note,204,Swan,1,no formal designation,?,ND
Ecology,1956,1,note,206,Sellmer,1,no formal designation,?,ND
Ecology,1966,1,article,1,"Crossley, Jr.",1,no formal designation,?,ND
Ecology,1966,1,article,9,Mayhew,1,no formal designation,?,ND
Ecology,1966,1,article,19,Andrews,1,no formal designation,?,ND
Ecology,1966,1,article,32,Holmes,1,no formal designation,?,ND
Ecology,1966,1,article,46,Brower & Cade,2,no formal designation,?,ND
Ecology,1966,1,article,64,Zahner & Stage,2,no formal designation,?,ND
Ecology,1966,1,article,75,Simms Jones & Patton,2,no formal designation,gives present address for second author,ND
Ecology,1966,1,article,80,Vogl,1,no formal designation,?,ND
Ecology,1966,1,article,88,Cottam & Wilson,2,no formal designation,?,ND
Ecology,1966,1,article,97,Ferrill & Woods,2,no formal designation,?,ND
Ecology,1966,1,article,103,Whittaker,1,no formal designation,gives address for where currently on leave,ND
Ecology,1966,1,article,122,Dyrness & Youngberg,2,no formal designation,?,ND
Ecology,1966,1,report,139,Vandermeer & MacArthur,2,no formal designation,?,ND
Ecology,1966,1,report,140,Underhill & Merrell,2,no formal designation,?,ND
Ecology,1966,1,report,143,Verner & Willson,2,no formal designation,gives present address for first author,ND
Ecology,1966,1,report,148,Grant,1,no formal designation,?,ND
Ecology,1966,1,report,152,Voris,1,no formal designation,?,ND
Ecology,1966,1,report,154,Ungar,1,no formal designation,?,ND
Ecology,1966,1,report,156,Winkler,1,no formal designation,?,ND
Ecology,1976,1,article,3,Fuentes,1,no formal designation,?,ND
Ecology,1976,1,article,18,Blair & Brunett,2,no formal designation,?,ND
Ecology,1976,1,article,33,Lewis,1,no formal designation,?,ND
Ecology,1976,1,article,48,Rockwood,1,no formal designation,?,ND
Ecology,1976,1,article,62,"Hunt, Jr. & Warner Hunt",2,no formal designation,?,ND
Ecology,1976,1,article,76,Rathcke,1,no formal designation,?,ND
Ecology,1976,1,article,88,Lussenhop,1,no formal designation,?,ND
Ecology,1976,1,article,99,"Shugart, Reichle, Edwards, & Kercher",4,no formal designation,gives present address for last author,ND
